Topic_id,Erik_id,Erik_video_title,Video_title,match_score
10490205,102,7 - Ralf Jeutter- The Concept of Health & Disease I Part 2,5 - Ralf Jeutter- The Concept of Health & Disease I Part 1.mp4,89.55
10490205,111,6. The Concept of Health & Disease II (Part 1) - Ralf Jeutter,5 - Ralf Jeutter- The Concept of Health & Disease I Part 1.mp4,80.20
10490205,112,7. The Concept of Health & Disease II (Part 2) - Ralf Jeutter_2,5 - Ralf Jeutter- The Concept of Health & Disease I Part 1.mp4,63.92
10490205,115,1. The Concept of Health & Disease III - Ralf Jeutter,5 - Ralf Jeutter- The Concept of Health & Disease I Part 1.mp4,70.61
10490205,117,2. The Concept of Health & Disease III (Part 2) - Ralf Jeutter [AMENDED ],5 - Ralf Jeutter- The Concept of Health & Disease I Part 1.mp4,73.27
10490206,32,SUN 1000 Ralf Jeutter The Concept of HEalth and Disease-005,6 - Ralf Jeutter- The Concept of Health & Disease I Part 2.mp4,54.80
10490206,33,SUN 1130 Ralf Jeutter The Concept of Health and Disease Part 2-003,6 - Ralf Jeutter- The Concept of Health & Disease I Part 2.mp4,63.52
10490206,101,6 - Ralf Jeutter- The Concept of Health & Disease I Part 1,6 - Ralf Jeutter- The Concept of Health & Disease I Part 2.mp4,89.55
10490206,102,7 - Ralf Jeutter- The Concept of Health & Disease I Part 2,6 - Ralf Jeutter- The Concept of Health & Disease I Part 2.mp4,89.55
10490206,111,6. The Concept of Health & Disease II (Part 1) - Ralf Jeutter,6 - Ralf Jeutter- The Concept of Health & Disease I Part 2.mp4,80.20
10490206,112,7. The Concept of Health & Disease II (Part 2) - Ralf Jeutter_2,6 - Ralf Jeutter- The Concept of Health & Disease I Part 2.mp4,63.92
10490206,115,1. The Concept of Health & Disease III - Ralf Jeutter,6 - Ralf Jeutter- The Concept of Health & Disease I Part 2.mp4,70.61
10490206,117,2. The Concept of Health & Disease III (Part 2) - Ralf Jeutter [AMENDED ],6 - Ralf Jeutter- The Concept of Health & Disease I Part 2.mp4,73.27
10490207,103,8 - Hilery Dorrian- Lycopodium,7 - Hilery Dorrian- Lycopodium.mp4,77.65
10490208,104,9 - Tony Hurley- Phosphorus,8 - Tony Hurley- Phosphorus.mp4,77.65
10500201,105,1. Organs and Tissues - Sian Moss,1. Organs and Tissues - Sian Moss.mp4,84.66
10500202,107,2. Nux Vomica - Tony Hurley,2. Nux Vomica - Tony Hurley.mp4,81.82
10500203,109,4. Staphysagria - Tony Hurley,3. Staphysagria - Tony Hurley.mp4,77.65
10500204,32,SUN 1000 Ralf Jeutter The Concept of HEalth and Disease-005,4. The Concept of Health & Disease II (Part 1) - Ralf Jeutter.mp4,50.44
10500204,33,SUN 1130 Ralf Jeutter The Concept of Health and Disease Part 2-003,4. The Concept of Health & Disease II (Part 1) - Ralf Jeutter.mp4,58.03
10500204,101,6 - Ralf Jeutter- The Concept of Health & Disease I Part 1,4. The Concept of Health & Disease II (Part 1) - Ralf Jeutter.mp4,81.82
10500204,102,7 - Ralf Jeutter- The Concept of Health & Disease I Part 2,4. The Concept of Health & Disease II (Part 1) - Ralf Jeutter.mp4,81.82
10500204,111,6. The Concept of Health & Disease II (Part 1) - Ralf Jeutter,4. The Concept of Health & Disease II (Part 1) - Ralf Jeutter.mp4,90.55
10500204,112,7. The Concept of Health & Disease II (Part 2) - Ralf Jeutter_2,4. The Concept of Health & Disease II (Part 1) - Ralf Jeutter.mp4,73.27
10500204,115,1. The Concept of Health & Disease III - Ralf Jeutter,4. The Concept of Health & Disease II (Part 1) - Ralf Jeutter.mp4,64.99
10500204,117,2. The Concept of Health & Disease III (Part 2) - Ralf Jeutter [AMENDED ],4. The Concept of Health & Disease II (Part 1) - Ralf Jeutter.mp4,66.94
10500205,101,6 - Ralf Jeutter- The Concept of Health & Disease I Part 1,5. The Concept of Health & Disease II (Part 2) - Ralf Jeutter_2.mp4,64.99
10500205,102,7 - Ralf Jeutter- The Concept of Health & Disease I Part 2,5. The Concept of Health & Disease II (Part 2) - Ralf Jeutter_2.mp4,64.99
10500205,111,6. The Concept of Health & Disease II (Part 1) - Ralf Jeutter,5. The Concept of Health & Disease II (Part 2) - Ralf Jeutter_2.mp4,73.27
10500205,112,7. The Concept of Health & Disease II (Part 2) - Ralf Jeutter_2,5. The Concept of Health & Disease II (Part 2) - Ralf Jeutter_2.mp4,90.55
10500205,115,1. The Concept of Health & Disease III - Ralf Jeutter,5. The Concept of Health & Disease II (Part 2) - Ralf Jeutter_2.mp4,51.01
10500205,117,2. The Concept of Health & Disease III (Part 2) - Ralf Jeutter [AMENDED ],5. The Concept of Health & Disease II (Part 2) - Ralf Jeutter_2.mp4,54.15
10500206,113,8. Ignatia - Hilery Dorrian,6. Ignatia - Hilery Dorrian.mp4,77.65
10500207,114,9. Acute Cases - Robert Bridge,7. Acute Cases - Robert Bridge.mp4,81.82
10500208,106,10. Silica - Ralf Jeutter,8. Silica - Ralf Jeutter.mp4,60.30
10510201,32,SUN 1000 Ralf Jeutter The Concept of HEalth and Disease-005,1. The Concept of Health & Disease III - Ralf Jeutter.mp4,54.80
10510201,33,SUN 1130 Ralf Jeutter The Concept of Health and Disease Part 2-003,1. The Concept of Health & Disease III - Ralf Jeutter.mp4,51.49
10510201,101,6 - Ralf Jeutter- The Concept of Health & Disease I Part 1,1. The Concept of Health & Disease III - Ralf Jeutter.mp4,70.61
10510201,102,7 - Ralf Jeutter- The Concept of Health & Disease I Part 2,1. The Concept of Health & Disease III - Ralf Jeutter.mp4,70.61
10510201,111,6. The Concept of Health & Disease II (Part 1) - Ralf Jeutter,1. The Concept of Health & Disease III - Ralf Jeutter.mp4,63.92
10510201,112,7. The Concept of Health & Disease II (Part 2) - Ralf Jeutter_2,1. The Concept of Health & Disease III - Ralf Jeutter.mp4,50.31
10510201,115,1. The Concept of Health & Disease III - Ralf Jeutter,1. The Concept of Health & Disease III - Ralf Jeutter.mp4,89.55
10510201,117,2. The Concept of Health & Disease III (Part 2) - Ralf Jeutter [AMENDED ],1. The Concept of Health & Disease III - Ralf Jeutter.mp4,73.27
10510202,33,SUN 1130 Ralf Jeutter The Concept of Health and Disease Part 2-003,2. The Concept of Health & Disease III (Part 2) - Ralf Jeutter [AMENDED ].mp4,53.76
10510202,101,6 - Ralf Jeutter- The Concept of Health & Disease I Part 1,2. The Concept of Health & Disease III (Part 2) - Ralf Jeutter [AMENDED ].mp4,75.79
10510202,102,7 - Ralf Jeutter- The Concept of Health & Disease I Part 2,2. The Concept of Health & Disease III (Part 2) - Ralf Jeutter [AMENDED ].mp4,75.79
10510202,111,6. The Concept of Health & Disease II (Part 1) - Ralf Jeutter,2. The Concept of Health & Disease III (Part 2) - Ralf Jeutter [AMENDED ].mp4,67.88
10510202,112,7. The Concept of Health & Disease II (Part 2) - Ralf Jeutter_2,2. The Concept of Health & Disease III (Part 2) - Ralf Jeutter [AMENDED ].mp4,54.80
10510202,115,1. The Concept of Health & Disease III - Ralf Jeutter,2. The Concept of Health & Disease III (Part 2) - Ralf Jeutter [AMENDED ].mp4,75.79
10510202,117,2. The Concept of Health & Disease III (Part 2) - Ralf Jeutter [AMENDED ],2. The Concept of Health & Disease III (Part 2) - Ralf Jeutter [AMENDED ].mp4,91.38
10510203,118,3. Hyperium - Ledum - Carol Boyce,3. Hyperium - Ledum - Carol Boyce.mp4,81.82
10510204,121,6. Cellular Processes - Sian Morris,4. Cellular Processes - Sian Morris.mp4,81.82
10510205,122,7. Cell physiology - Sian Moss,5. Cell physiology - Sian Moss.mp4,81.82
10510206,123,8. Lachesis - Hilery Dorrian,6. Lachesis - Hilery Dorrian.mp4,77.65
10510207,99,4 - Tricia Allen- Acute Case taking,7. Chronic Case Taking - Tricia Allen.mp4,58.03
10510207,124,9. Chronic Case Taking - Tricia Allen,7. Chronic Case Taking - Tricia Allen.mp4,84.66
10510207,256,09. Children's Case Taking - Tricia Allen,7. Chronic Case Taking - Tricia Allen.mp4,50.31
10510207,257,10. Children's Case Taking - Tricia Allen,7. Chronic Case Taking - Tricia Allen.mp4,50.31
10510208,99,4 - Tricia Allen- Acute Case taking,8. Chronic Case Taking - Tricia Allen.mp4,58.03
10510208,124,9. Chronic Case Taking - Tricia Allen,8. Chronic Case Taking - Tricia Allen.mp4,84.66
10510208,256,09. Children's Case Taking - Tricia Allen,8. Chronic Case Taking - Tricia Allen.mp4,50.31
10510208,257,10. Children's Case Taking - Tricia Allen,8. Chronic Case Taking - Tricia Allen.mp4,50.31
10520201,126,1. Cardiovascular System - Sian Moss,1. Cardiovascular System - Sian Moss.mp4,81.82
10520201,165,3. A&P Musculoskeletal System - Sian Moss,1. Cardiovascular System - Sian Moss.mp4,51.01
10520202,116,2. Cardiac Physiology - Sian Moss EDITED,2. Cardiac Physiology - Sian Moss EDITED.mp4,84.66
10520204,129,6. James Tyler Kent - Ralf Jeutter EDITED,4. James Tyler Kent - Ralf Jeutter EDITED.mp4,86.74
10520205,130,7. Materia Medica Review - Tony Hurley EDITED,5. Materia Medica Review - Tony Hurley EDITED.mp4,86.74
10520206,131,8. Therapeutics Coughs - Hilery Dorrian,6. Therapeutics Coughs - Hilery Dorrian.mp4,81.82
10520207,132,9. Pulsatilla - Tony Hurley,7. Pulsatilla - Tony Hurley.mp4,77.65
10530201,125,1. Blood - Sian Moss,1. Blood - Sian Moss.mp4,77.65
10530202,135,3. Arsenicum Album - Mike Bridger,2. Arsenicum Album - Mike Bridger.mp4,81.82
10530203,136,4. Kent & Hahnemann (Part 1) - Ralf Jeutter,3. Kent & Hahnemann (Part 1) - Ralf Jeutter.mp4,84.66
10530203,137,5. Kent & Hahnemann (Part 2) - Ralf Jeutter,3. Kent & Hahnemann (Part 1) - Ralf Jeutter.mp4,84.66
10530204,136,4. Kent & Hahnemann (Part 1) - Ralf Jeutter,4. Kent & Hahnemann (Part 2) - Ralf Jeutter.mp4,84.66
10530204,137,5. Kent & Hahnemann (Part 2) - Ralf Jeutter,4. Kent & Hahnemann (Part 2) - Ralf Jeutter.mp4,84.66
10530205,138,6. Nat Mur - Marcus Fernandez,5. Nat Mur - Marcus Fernandez.mp4,81.82
10530206,141,Potency Review,6. Potency Review.mp4,70.93
10530207,139,8. Bryonia - Hilery Dorrian,7. Bryonia - Hilery Dorrian.mp4,77.65
10530208,140,9. Practical Case Analysis - Caroline Gaskin,8. Practical Case Analysis - Caroline Gaskin.mp4,84.66
10530209,133,10. Therapeutics- Sore Throats - Caroline Gaskin,9. Therapeutics- Sore Throats - Caroline Gaskin.mp4,71.68
10540202,144,2. Rhus Tox & Symphytum - Tony Hurley,2. Rhus Tox & Symphytum - Tony Hurley.mp4,84.66
10540203,145,3. The Effects of Old Injuries - Colin Griffith,3. The Effects of Old Injuries - Colin Griffith.mp4,88.31
10540204,146,4. Physiology of Injuries _ Infection - Sian Moss,4. Physiology of Injuries _ Infection - Sian Moss.mp4,86.74
10540205,147,5. Ruta & Eupatorium Perf - Tony Hurley,5. Ruta & Eupatorium Perf - Tony Hurley.mp4,84.66
10540206,148,6. Pharmacy - Jane Weddell,6. Pharmacy - Jane Weddell.mp4,77.65
10540206,149,7. Pharmacy - Jane Weddell,6. Pharmacy - Jane Weddell.mp4,77.65
10540207,148,6. Pharmacy - Jane Weddell,7. Pharmacy - Jane Weddell.mp4,77.65
10540207,149,7. Pharmacy - Jane Weddell,7. Pharmacy - Jane Weddell.mp4,77.65
10540208,150,8. Introduction to Miasms (Part 1) - Dion Tabrett,8. Introduction to Miasms (Part 1) - Dion Tabrett.mp4,86.74
10540208,151,9. Introduction to Miasms (Part 2) - Dion Tabrett,8. Introduction to Miasms (Part 1) - Dion Tabrett.mp4,86.74
10540209,150,8. Introduction to Miasms (Part 1) - Dion Tabrett,9. Introduction to Miasms (Part 2) - Dion Tabrett.mp4,86.74
10540209,151,9. Introduction to Miasms (Part 2) - Dion Tabrett,9. Introduction to Miasms (Part 2) - Dion Tabrett.mp4,86.74
10540210,143,10. The Timeline - Susi Deller,10. The Timeline - Susi Deller.mp4,84.66
10550201,152,1. Muscular Sceletal System - Sian Moss,1. Muscular Sceletal System - Sian Moss.mp4,84.66
10550202,153,2. Psorinum - Tony Hurley-010,2. Psorinum - Tony Hurley-010.mp4,81.82
10550203,154,3. Sepia - Hilery Dorrian,3. Sepia - Hilery Dorrian.mp4,77.65
10550204,67,DAY 1 10-00 Mike Bridger The Second Prescription,4. The Second Prescription - Mike Bridger.mp4,57.27
10550204,68,DAY 1 11-30 Mike Bridger The Second Prescription pt2,4. The Second Prescription - Mike Bridger.mp4,52.71
10550204,155,4. The Second Prescription - Mike Bridger,4. The Second Prescription - Mike Bridger.mp4,84.66
10550205,156,5. Remedy Review - Tony Hurley,5. Remedy Review - Tony Hurley.mp4,81.82
10550205,220,10. Remedy Review - Tony Hurley,5. Remedy Review - Tony Hurley.mp4,66.94
10550206,158,6. Case Taking (Aphorism 82-102) - Ralf Jeutter,6. Case Taking (Aphorism 82-102) Part 1 - Ralf Jeutter.mp4,79.95
10550206,159,7. Case Taking (Aphorism 82-102) - Ralf Jeutter,6. Case Taking (Aphorism 82-102) Part 1 - Ralf Jeutter.mp4,79.95
10550207,158,6. Case Taking (Aphorism 82-102) - Ralf Jeutter,7. Case Taking (Aphorism 82-102) Part 2 - Ralf Jeutter.mp4,79.95
10550207,159,7. Case Taking (Aphorism 82-102) - Ralf Jeutter,7. Case Taking (Aphorism 82-102) Part 2 - Ralf Jeutter.mp4,79.95
10550208,160,8. Medorrhinum - Tony Hurley,8. Medorrhinum - Tony Hurley.mp4,77.65
10560201,163,1. Nitric Acid - Marcus Fernandez,1. Nitric Acid - Marcus Fernandez.mp4,81.82
10560202,164,2. Syphilinium - Tony Hurley,2. Syphilinium - Tony Hurley.mp4,77.65
10560203,126,1. Cardiovascular System - Sian Moss,3. A&P Musculoskeletal System - Sian Moss.mp4,51.01
10560203,165,3. A&P Musculoskeletal System - Sian Moss,3. A&P Musculoskeletal System - Sian Moss.mp4,81.82
10560204,167,5. Constantine Hering - Ralf Jeutter,4. Constantine Hering Part 1 - Ralf Jeutter.mp4,70.93
10560204,168,6. Constantine Hering - Ralf Jeutter,4. Constantine Hering Part 1 - Ralf Jeutter.mp4,70.93
10560205,167,5. Constantine Hering - Ralf Jeutter,5. Constantine Hering Part 2- Ralf Jeutter.mp4,70.93
10560205,168,6. Constantine Hering - Ralf Jeutter,5. Constantine Hering Part 2- Ralf Jeutter.mp4,70.93
10560206,178,6. A_P Gastro Intestinal - Sian Moss,6. A_P Gastro Intestinal - Sian Moss.mp4,84.66
10560207,169,7. Mercury - Robert Bridge,7. Mercury - Robert Bridge.mp4,77.65
10560208,176,4. Tubercullinum - Mike Bridger,8. Tubercullinum - Mike Bridger.mp4,77.65
10570201,184,03. Carcinosin - Tony Hurley,1. Carcinosin - Tony Hurley.mp4,60.30
10570202,173,1. Causation - Carol Boyce,2.  Causation - Carol Boyce.mp4,77.65
10570203,175,3. Thuja - Colin Griffith,3. Thuja - Colin Griffith.mp4,77.65
10570204,172,7. Bites and Stings,4. Bites and Stings.mp4,77.65
10570205,179,8. The Tissue Salts - Tony Hurley,5. The Tissue Salts - Tony Hurley.mp4,84.66
10570205,180,9. The Tissue Salts - Tony Hurley,5. The Tissue Salts - Tony Hurley.mp4,84.66
10570206,179,8. The Tissue Salts - Tony Hurley,6. The Tissue Salts - Tony Hurley.mp4,84.66
10570206,180,9. The Tissue Salts - Tony Hurley,6. The Tissue Salts - Tony Hurley.mp4,84.66
10570207,31,SAT 1615 Dion Tabrett Homeopathy The Evidence-003,7. Homeopathy -- The Evidence - Dion Tabrett.mp4,57.27
10570207,90,4. The History of Homeopathy - Dion Tabrett,7. Homeopathy -- The Evidence - Dion Tabrett.mp4,50.31
10570207,181,10. Homeopathy -- The Evidence - Dion Tabrett,7. Homeopathy -- The Evidence - Dion Tabrett.mp4,71.68
10570208,170,8. Vaccination - Magda Talylor,8. Vaccination - Magda Talylor.mp4,77.65
10570209,171,9. Vaccination - Magda Taylor,9. Vaccination - Magda Taylor.mp4,77.65
10570210,187,06. Miasm Review - Tony Hurley,10. Miasm Review - Tony Hurley.mp4,58.03
10570210,220,10. Remedy Review - Tony Hurley,10. Miasm Review - Tony Hurley.mp4,58.03
10580201,182,01. Taking Case in Class - Mike Bridger,1. Taking Case in Class - Mike Bridger.mp4,75.23
10580201,183,02. Taking Case in Class - Mike Bridger_1,1. Taking Case in Class - Mike Bridger.mp4,55.86
10580202,182,01. Taking Case in Class - Mike Bridger,2. Taking Case in Class - Mike Bridger_1.mp4,55.86
10580202,183,02. Taking Case in Class - Mike Bridger_1,2. Taking Case in Class - Mike Bridger_1.mp4,75.23
10580203,185,04. GI Pathologies - Sian Moss,3. GI Pathologies - Sian Moss.mp4,66.94
10580204,163,1. Nitric Acid - Marcus Fernandez,4. Phosphoric Acid - Marcus Fernandez.mp4,51.01
10580204,186,05. Phosphoric Acid - Marcus Fernandez,4. Phosphoric Acid - Marcus Fernandez.mp4,66.94
10580205,188,07. Opium - Tony Hurley,5. Opium - Tony Hurley.mp4,60.30
10580205,198,07. Opium - Tony Hurley,5. Opium - Tony Hurley.mp4,60.30
10580206,189,08. Kent_s 12 ...Remedy Reactions - Carol Boyce,6. Kent_s 12 Remedy Reactions - Carol Boyce.mp4,75.23
10580207,190,09. Digestive Therapeutics - Mike Bridger,7. Digestive Therapeutics - Mike Bridger.mp4,66.94
10580208,191,10. Miasmatic Prescribing - Mike Bridger,8. Miasmatic Prescribing - Mike Bridger.mp4,66.94
10590201,166,4. Case Work - Dion Tabrett,1. Case Work & Analysis - Dion Tabrett.mp4,70.93
10590201,192,01. Case Work _ Analysis - Dion Tabrett,1. Case Work & Analysis - Dion Tabrett.mp4,71.68
10590201,202,01. Case work _ Analysis - Dion Tabrett_otter_ai,1. Case Work & Analysis - Dion Tabrett.mp4,50.31
10590202,193,02. Treating Hay Fever - Tricia Allen,2. Treating Hay Fever - Tricia Allen.mp4,71.68
10590203,194,03. Aurum Met - Robert Bridge,3. Aurum Met - Robert Bridge.mp4,66.94
10590204,196,05. GI Pathology - Sian Moss,4. GI Pathology - Sian Moss.mp4,66.94
10590205,196,05. GI Pathology - Sian Moss,5. GI Pathology - Sian Moss.mp4,66.94
10590206,197,06. Cannabis Indica-Sativa - Tony Hurley_otter_ai,6. Cannabis Indica-Sativa - Tony Hurley.mp4,50.31
10600201,166,4. Case Work - Dion Tabrett,1. Case work & Analysis - Dion Tabrett.mp4,70.93
10600201,192,01. Case Work _ Analysis - Dion Tabrett,1. Case work & Analysis - Dion Tabrett.mp4,71.68
10600201,202,01. Case work _ Analysis - Dion Tabrett_otter_ai,1. Case work & Analysis - Dion Tabrett.mp4,50.31
10600202,204,03. Carbo Veg-Animalis - Tony Hurley,2. Carbo Veg-Animalis - Tony Hurley.mp4,71.68
10600203,206,05. The LM Pot...ow to Prescribe - Dion Tabrett,3. The LM Potency & How to Prescribe - Dion Tabrett.mp4,50.31
10600204,207,06. Vaccine Prescribing - Robert Bridge,4. Vaccine Prescribing - Robert Bridge.mp4,66.94
10600205,208,07. Natrum Sulph-Carb - Hilery Dorian,5. Natrum Sulph-Carb - Hilery Dorian.mp4,71.68
10600206,210,09. Causticum - Mike Bridger,6. Causticum - Mike Bridger.mp4,60.30
10600207,211,10. Case Work - Robert Bridge,7. Case Work - Robert Bridge-Module-13.mp4,51.94
10600207,255,08. Case Work - Robert Bridge,7. Case Work - Robert Bridge-Module-13.mp4,51.94
10600207,315,08. Case Work - Robert Bridge,7. Case Work - Robert Bridge-Module-13.mp4,51.94
10600207,371,06. Case Work - Robert Bridge,7. Case Work - Robert Bridge-Module-13.mp4,51.94
10610201,212,02. Case Analysis - Dion Tabrett [2021-12-11 EDIT],1. Case Analysis - Dion Tabrett [2021-12-11 EDIT].mp4,80.20
10610202,213,03. Hyoscymus - Ralf Jeutter,2. Hyoscymus - Ralf Jeutter.mp4,60.30
10610204,135,3. Arsenicum Album - Mike Bridger,4. Veratrum Album - Mike Bridger.mp4,51.01
10610204,215,05. Veratrum Album - Mike Bridger,4. Veratrum Album - Mike Bridger.mp4,66.94
10610205,216,06. Miasmatic Prescribing - Robert Bridge,5. Miasmatic Prescribing - Robert Bridge.mp4,66.94
10610206,217,07. Ear Therapeutics - Tricia Allen,6. Ear Therapeutics - Tricia Allen.mp4,66.94
10610207,219,09. Conium - Tony Hurley,7. Conium - Tony Hurley.mp4,60.30
10610208,218,08. Case work- Ghana - Ralf Jeutter,8. Case work- Ghana - Ralf Jeutter.mp4,71.68
10610208,245,07. Female Case Work - Ralf Jeutter,8. Case work- Ghana - Ralf Jeutter.mp4,50.31
10610208,308,10. Case Work - Ralf Jeutter,8. Case work- Ghana - Ralf Jeutter.mp4,58.03
10610208,404,08. Case Work - Ralf Jeutter,8. Case work- Ghana - Ralf Jeutter.mp4,58.03
10620201,205,04. Liver and ...Biliary System A_P - Sian Moss,1. Liver and Biliary System A&P - Sian Moss USE THIS ONE.mp4,51.01
10620201,223,03. Liver and Biliary System A&P - Sian Moss USE THIS ONE,1. Liver and Biliary System A&P - Sian Moss USE THIS ONE.mp4,82.00
10620202,224,04. Liver Disease - Sian Moss,2. Liver Disease - Sian Moss.mp4,66.94
10620203,225,06. Chelidonium-Carduus Marianus - Tony Hurley,3. Chelidonium-Carduus Marianus - Tony Hurley.mp4,71.68
10620204,226,07. Migraines - Hilery Dorrian,4. Migraines - Hilery Dorrian.mp4,60.30
10620205,227,08. Code of Ethics in Practice - Carol Boyce,5. Code of Ethics in Practice - Carol Boyce.mp4,77.99
10620206,228,09. The Unprejudiced Observer - Carol Boyce,6. The Unprejudiced Observer - Carol Boyce.mp4,71.68
10620206,406,10. The Unprejudiced Observer - Carol Boyce,6. The Unprejudiced Observer - Carol Boyce.mp4,71.68
10620207,264,07. Kali Bich & Ipecac - Tony Hurley,7. Kali Bich & Ipecac - Tony Hurley.mp4,71.68
10630201,229,01. Introduction to Remedy Mapping - Mike Bridger,1. Remedy Mapping I - Mike Bridger.mp4,51.94
10630201,269,02. Remedy Mapping II - Mike Bridger,1. Remedy Mapping I - Mike Bridger.mp4,58.03
10630201,283,06. Case & Remedy Mapping Part 1 - Mike Bridger,1. Remedy Mapping I - Mike Bridger.mp4,51.94
10630201,284,07. Case Remedy & Mapping Part 2 - Mike Bridger,1. Remedy Mapping I - Mike Bridger.mp4,51.94
10630201,320,03. Remedy Mapping III - Mike Bridger-008,1. Remedy Mapping I - Mike Bridger.mp4,51.94
10630203,232,05. Emotional Case Analysis - Robert Bridge,3. Emotional Case Analysis - Robert Bridge.mp4,71.68
10630204,233,06. Kali Carb - Mike Bridger,4. Kali Carb - Mike Bridger.mp4,66.94
10630205,235,08. Hering's Law ... Myth- - Ralf Jeutter,5. Hering's Law ... Myth- - Ralf Jeutter.mp4,71.68
10630206,131,8. Therapeutics Coughs - Hilery Dorrian,6. Therapeutics- Burns - Hilery Dorrian.mp4,51.01
10630208,247,Hormones and control of the menstrual cycle - Sian Moss,8.Hormones and control of the menstrual cycle - Sian Moss.mp4,90.55
10640201,239,01. Female Specific Pathologies - Sian Moss,1. Female Specific Pathologies - Sian Moss.mp4,71.68
10640201,240,02. Female Specific Pathologies - Sian Moss,1. Female Specific Pathologies - Sian Moss.mp4,71.68
10640202,239,01. Female Specific Pathologies - Sian Moss,2. Female Specific Pathologies - Sian Moss.mp4,71.68
